aqi,city,cityid,co,id,iscity,lat,lon,monitortime,no2,o3,o3_8h,pm10,pm25,pollutantlevel,positionname,primarypollutant,scrapytime,so2,stationcode,stationid
28,北京,,0.53,,1,,,2017-08-17 11:00:00,14,88,35,17,28,优,北京,,,2,,
28,北京,,0.9,,2,,,2017-08-17 11:00:00,19,88,31,16,15,优,万寿西宫,_,,4,,
31,北京,,0.4,,2,,,2017-08-17 11:00:00,7,98,44,_,13,优,定陵,_,,2,,
27,北京,,0.7,,2,,,2017-08-17 11:00:00,19,86,35,18,15,优,东四,_,,2,,
26,北京,,0.6,,2,,,2017-08-17 11:00:00,22,83,27,_,16,优,天坛,_,,2,,
24,北京,,0.6,,2,,,2017-08-17 11:00:00,21,76,32,22,14,优,农展馆,_,,2,,
30,北京,,0.5,,2,,,2017-08-17 11:00:00,19,94,34,21,15,优,官园,_,,3,,
31,北京,,0.4,,2,,,2017-08-17 11:00:00,2,97,38,_,15,优,海淀区万柳,_,,4,,
27,北京,,0.4,,2,,,2017-08-17 11:00:00,9,86,31,13,9,优,顺义新城,_,,3,,
26,北京,,0.4,,2,,,2017-08-17 11:00:00,6,83,39,10,7,优,怀柔镇,_,,2,,
30,北京,,0.5,,2,,,2017-08-17 11:00:00,11,95,37,_,14,优,昌平镇,_,,2,,
28,北京,,0.4,,2,,,2017-08-17 11:00:00,14,88,32,_,18,优,奥体中心,_,,2,,
27,北京,,0.6,,2,,,2017-08-17 11:00:00,24,86,46,19,13,优,古城,_,,2,,
22,北海,,0.47,,1,,,2017-08-17 11:00:00,4,38,26,21,22,优,北海,,,5,,
22,北海,,0.5,,2,,,2017-08-17 11:00:00,1,34,19,22,9,优,牛尾岭水库,_,,4,,
26,北海,,0.3,,2,,,2017-08-17 11:00:00,_,54,40,26,5,优,海滩公园,_,,_,,
22,北海,,_,,2,,,2017-08-17 11:00:00,_,29,21,22,7,优,新市环保局,_,,5,,
16,北海,,0.6,,2,,,2017-08-17 11:00:00,8,37,26,16,5,优,北海工业园,_,,7,,
